BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Systematic Name Interactor A,Systematic Name Interactor B,Official Symbol Interactor A,Official Symbol Interactor B,Synonyms Interactor A,Synonyms Interactor B,Experimental System,Experimental System Type,Author,Pubmed ID,Organism Interactor A,Organism Interactor B,Throughput,Score,Modification,Phenotypes,Qualifications,Tags,Source Database
3046248,8336,8370,113932,113966,-,-,HIST1H2AM,HIST2H4A,H2A.1|H2A/n|H2AFN|dJ193B12.1,FO108|H4|H4/n|H4F2|H4FN|HIST2H4,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.98638867,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.98638867, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3049421,8294,8969,113899,114459,-,-,HIST1H4I,HIST1H2AG,H4/m|H4FM|H4M,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.965418493,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.965418493, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3136576,8362,8969,113958,114459,RP1-160A22.2,-,HIST1H4K,HIST1H2AG,H4/d|H4F2iii|H4FD|dJ160A22.1,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.869829233,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.869829233, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3676881,8969,8359,114459,113955,-,-,HIST1H2AG,HIST1H4A,H2A.1b|H2A/p|H2AFP|H2AG|pH2A/f,H4FA,Cross-Linking-MS (XL-MS),physical,Wheat A (2021),34349018,9606,9606,High Throughput,-,-,-,"In vivo cross-linking-mass spectrometry (XL-MS) was carried out in HEK-293 cells using the cross-linking reagent Alkyne-A-DSBSO (Azide/Alkyne-tagged, acid-cleavable disuccinimidyl bissulfoxide). High confidence protein interactions were identified based on cross-linked peptides having an FDR < 1%.",-,BIOGRID
3707369,8329,8359,113925,113955,-,-,HIST1H2AI,HIST1H4A,H2A/c|H2AFC,H4FA,Cross-Linking-MS (XL-MS),physical,Bartolec TK (2023),37071682,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
3720528,8329,8359,113925,113955,-,-,HIST1H2AI,HIST1H4A,H2A/c|H2AFC,H4FA,Cross-Linking-MS (XL-MS),physical,Gao H (2022),35575683,9606,9606,High Throughput,-,-,-,High confidence crosslinked peptides were identified with the FDR set to 0.01 at the peptide-spectrum matches (PSM) level and PSMs >= 2.|MS non-cleavable crosslinker of bis(succinimidyl) with propargyl tag (BSP),-,BIOGRID
2551272,8359,554313,113955,299853,-,-,HIST1H4A,HIST2H4B,H4FA,H4/o,Affinity Capture-MS,physical,Gilmore JM (2016),27248496,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2858179,55177,51234,120476,119397,hucep-10,HSPC184,RMDN3,EMC4,FAM82A2|FAM82C|RMD-3|RMD3|ptpip51,PIG17|TMEM85,Proximity Label-MS,physical,Antonicka H (2020),32877691,9606,9606,High Throughput,0.98,-,-,interaction assayed using BioID|interactions were considered high confidence if they had a Bayesian False Discovery Rate of 1% or less|the Saint Score for the interaction (or the maximum of any bait-prey combinations that had multiple scores) is shown,-,BIOGRID
3360775,4282,64793,110428,122301,-,-,MIF,CEP85,GIF|GLIF|MMIF,CCDC21,Affinity Capture-MS,physical,Cho NH (2022),35271311,9606,9606,High Throughput,-,-,-,Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins,-,BIOGRID
1456847,283489,84717,129584,124221,-,UNQ785/PRO1604,CHAMP1,HDGFRP2,C13orf8|CAMP|CHAMP|ZNF828,HDGF-2|HDGF2|HRP-2,Affinity Capture-MS,physical,Hein MY (2015),26496610,9606,9606,High Throughput,-,-,-,interaction detected by quantitative BAC-GFP interactomics (QUBIC),-,BIOGRID
2943812,283489,55791,129584,120905,-,RP11-96K19.1,CHAMP1,LRIF1,C13orf8|CAMP|CHAMP|ZNF828,C1orf103|RIF1,Affinity Capture-MS,physical,Marcon E (2014),24981860,9606,9606,High Throughput,34.22037766,-,-,Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11,-,BIOGRID
3053810,84717,283489,124221,129584,UNQ785/PRO1604,-,HDGFRP2,CHAMP1,HDGF-2|HDGF2|HRP-2,C13orf8|CAMP|CHAMP|ZNF828,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.999999969,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.999999969, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|BioPlex HCT HCT116 cells CompPASS score = 0.999999983, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3075166,84717,50810,124221,119129,UNQ785/PRO1604,CGI-142,HDGFRP2,HDGFRP3,HDGF-2|HDGF2|HRP-2,HDGF-2|HDGF2|HRP-3,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.999999998,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.999999998, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3652903,10318,84319,115602,124045,-,-,TNIP1,CMSS1,ABIN-1|NAF1|VAN|nip40-1,C3orf26,Affinity Capture-MS,physical,Zhou J (2023),36574265,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
3196060,57152,79018,121409,122487,-,-,SLURP1,GID4,ANUP|ARS|ArsB|LY6LS|MDM,C17orf39|VID24,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.941971466,-,-,"BioPlex HCT HCT116 cells CompPASS score = 0.941971466, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HCT116.|Only scores from within the same cell line in BioPlex HCT (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
725361,6399,51112,112299,119301,-,CGI-87,TRAPPC2,TRAPPC12,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,TTC-15|TTC15,Affinity Capture-MS,physical,Scrivens PJ (2011),21525244,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
725383,6399,51112,112299,119301,-,CGI-87,TRAPPC2,TRAPPC12,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,TTC-15|TTC15,Two-hybrid,physical,Scrivens PJ (2011),21525244,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
1190340,51112,6399,119301,112299,CGI-87,-,TRAPPC12,TRAPPC2,TTC-15|TTC15,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,0.999104904,-,-,"BioPlex 1.0 HEK 293T cells CompPASS score = 0.999104904, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.",-,BIOGRID
2217041,6399,51112,112299,119301,-,CGI-87,TRAPPC2,TRAPPC12,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,TTC-15|TTC15,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.999999999,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.999999999, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
2539571,51112,6399,119301,112299,CGI-87,-,TRAPPC12,TRAPPC2,TTC-15|TTC15,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,Positive Genetic,genetic,Han K (2017),28319085,9606,9606,High Throughput,3.444,-,Growth abnormality,"CRISPR GI screen|Cell Line:K562 (EFO:0002067)|Experimental Setup:Toxin Exposure:  Ricin at LD50 (first two pulses: 0.25 ng/ml ricin, third pulse: 0.3 ng/ml, fourth pulse: 0.35 ng/ml)|GIST: A-phenotypic positive genetic interaction|Library:Ricin-CDKO CRISPRn library|Significance Threshold: q-value<0.05",-,BIOGRID
3108761,51112,6399,119301,112299,CGI-87,-,TRAPPC12,TRAPPC2,TTC-15|TTC15,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,1.0,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 1, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3373999,6399,51112,112299,119301,-,CGI-87,TRAPPC2,TRAPPC12,MIP2A|SEDL|SEDT|TRAPPC2P1|TRS20|ZNF547L|hYP38334,TTC-15|TTC15,Affinity Capture-MS,physical,Cho NH (2022),35271311,9606,9606,High Throughput,-,-,-,Bait generated from library of CRISPR-edited human embryonic kidney (HEK) 293T cell lines harboring fluorescent tags on individual proteins,-,BIOGRID
2551272,8359,554313,113955,299853,-,-,HIST1H4A,HIST2H4B,H4FA,H4/o,Affinity Capture-MS,physical,Gilmore JM (2016),27248496,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2631944,8359,23272,113955,116873,-,-,HIST1H4A,FAM208A,H4FA,C3orf63|RAP140|se89-1,Affinity Capture-MS,physical,Nakamura K (2019),30804502,9606,9606,High Throughput,-,-,-,assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation),-,BIOGRID
2946282,8085,9757,113758,115104,-,-,KMT2D,KMT2B,AAD10|ALR|CAGL114|KABUK1|KMS|MLL2|MLL4|TNRC21,HRX2|MLL1B|MLL2|MLL4|TRX2|WBP-7|WBP7,Affinity Capture-MS,physical,Marcon E (2014),24981860,9606,9606,High Throughput,20.53822918,-,-,Affinity Capture MS carried out to identify high confidence protein interactions with a iHGSCore < 11,-,BIOGRID
2724237,79768,5892,122873,111829,-,-,KATNBL1,RAD51D,C15orf29,BROVCA4|R51H3|RAD51L3|TRAD,Two-hybrid,physical,Luck K (2020),32296183,9606,9606,High Throughput,-,-,-,"This human reference interactome (HuRI) was generated by performing nine two-hybrid screens with the high confidence interactions determined by pairwise verification by quadruplicate retesting and sequence confirmation. This HI-III-20 dataset contains over 52,000 PPIs involving more than 8,000 proteins.",-,BIOGRID
560139,8318,8350,113915,113946,UNQ374/PRO710,-,CDC45,HIST1H3A,CDC45L|CDC45L2|PORC-PI-1,H3/A|H3FA,Affinity Capture-Western,physical,Liu H (2010),20818375,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
796036,8358,8353,113954,113949,-,RP1-34B20.8,HIST1H3B,HIST1H3E,H3/l|H3FL,H3.1|H3/d|H3FD,Affinity Capture-MS,physical,Foltz DR (2006),16622419,9606,9606,Low Throughput,-,-,-,-,-,BIOGRID
2254727,8350,8968,113946,114458,-,-,HIST1H3A,HIST1H3F,H3/A|H3FA,H3/i|H3FI,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,0.932287735,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 0.932287735, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
2844273,2909,1476,109166,107858,-,-,ARHGAP35,CSTB,GRF-1|GRLF1|P190-A|P190A|p190ARhoGAP|p190RhoGAP,CST6|EPM1|EPM1A|PME|STFB|ULD,Affinity Capture-MS,physical,Mueller PM (2020),32203420,9606,9606,High Throughput,6.250433669,-,-,"prey proteins were classified into confidence-level categories of gold (highest confidence), silver or bronze based on various criteria|tagged bait proteins were affinity purified and associated proteins identified by mass spectrometry|the score provided is the CompPASS Z-score|this interaction was classified by the authors as being in the gold list",-,BIOGRID
2551272,8359,554313,113955,299853,-,-,HIST1H4A,HIST2H4B,H4FA,H4/o,Affinity Capture-MS,physical,Gilmore JM (2016),27248496,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2563520,3872,8365,110070,113961,-,-,KRT17,HIST1H4H,K17|PC|PC2|PCHC1,H4/h|H4FH,Affinity Capture-MS,physical,Yang L (2018),29859926,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2631522,8359,58506,113955,121834,-,-,HIST1H4A,SCAF1,H4FA,SRA1,Affinity Capture-MS,physical,Nakamura K (2019),30804502,9606,9606,High Throughput,-,-,-,assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation),-,BIOGRID
2631744,8359,10523,113955,115778,-,-,HIST1H4A,CHERP,H4FA,DAN16|SCAF6|SRA1,Affinity Capture-MS,physical,Nakamura K (2019),30804502,9606,9606,High Throughput,-,-,-,assayed using SILAC IP (stable isotope labeling by amino acids in cell culture-based quantitative immunoprecipitation),-,BIOGRID
424459,391627,377630,133990,132019,hCG_1807742,-,USP17L9P,USP17L2,RS447|USP17|USP17A|USP17H|USP17I|USP17J|USP17K|USP17L|USP17M,DUB-3|DUB3|USP17,Affinity Capture-MS,physical,Sowa ME (2009),19615732,9606,9606,High Throughput,4.67,-,-,exogenous expression of bait,-,BIOGRID
1511077,4171,6134,110339,112054,-,XX-FW83563B9.1,MCM2,RPL10,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,AUTSX5|DXS648|DXS648E|L10|NOV|QM,Affinity Capture-MS,physical,Drissi R (2015),25963833,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
1511616,4171,100652748,110339,1530130,-,RP11-592B15.7,MCM2,TIMM23B,BM28|CCNL1|CDCL1|D3S3194|MITOTIN|cdc19,TIMM23|bA592B15.7,Affinity Capture-MS,physical,Drissi R (2015),25963833,9606,9606,High Throughput,-,-,-,-,-,BIOGRID
2994839,80856,10328,123333,115611,-,-,KIAA1715,EMC8,LNP|LNP1|Ul|ulnaless,C16orf2|C16orf4|COX4NB|FAM158B|NOC4,Proximity Label-MS,physical,Go CD (2021),34079125,9606,9606,High Throughput,30.0,-,-,BioID|SAINTexpress (v.3.6.1) was used to identify proximity interactions and those with a Bayesian FDR =< 0.01 were considered high confidence. The score represents the fold change of the average spectral count in sample replicates relative to the average in control replicates.,-,BIOGRID
3143838,6288,10328,112196,115611,-,-,SAA1,EMC8,PIG4|SAA|SAA2|TP53I4,C16orf2|C16orf4|COX4NB|FAM158B|NOC4,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.982874062,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.982874062, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
3138628,9704,1659,115056,108024,-,-,DHX34,DHX8,DDX34|HRH1,DDX8|HRH1|PRP22|PRPF22,Affinity Capture-MS,physical,Huttlin EL (2021),33961781,9606,9606,High Throughput,0.999296681,-,-,"BioPlex 3.0 HEK 293T cells CompPASS score = 0.999296681, threshold = 0.75. Quantitative scores are calculated by CompPASS-Plus (Huttlin et al. Cell 2015, PMID: 26186194). The 0.75 threshold represents the top 2% of scores in HEK293T.|This data may be re-scored from BioPlex 1.0 (PMID: 26186194) and BioPlex 2.0 (PMID: 28514442). Only scores from within the same cell line in BioPlex 3.0 (PMID: 33961781) should be compared directly. For comparison of HEK293T and HCT116 interaction networks with relaxed threshold = 0.1, see BioPlex Interactome (https://bioplex.hms.harvard.edu/index.php).",-,BIOGRID
2216938,102724631,100287399,130821,939060,-,-,POTEB3,POTEB2,POTE-15|POTEB,-,Affinity Capture-MS,physical,Huttlin EL (2017),28514442,9606,9606,High Throughput,1.0,-,-,"BioPlex 2.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 3.0 (PMID: 33961781) and may be re-scored from BioPlex 1.0 (PMID: 26186194). Only scores from within BioPlex 2.0 (PMID: 28514442) should be compared directly.",-,BIOGRID
2362721,6646,552900,112529,139268,RP11-215I23.1,-,SOAT1,BOLA2,ACACT|ACAT|ACAT-1|ACAT1|SOAT|STAT,BOLA2A|My016,Affinity Capture-MS,physical,Malty RH (2017),29128334,9606,9606,High Throughput,0.00783182,-,-,HEK293 cell line (Antibody; IP/MS)|HEK293 cell line (FLAG TAGGED; AP/MS)|Normalized Spectral Abundance Factor (NSAF) scores were associated with each mitochondrial protein (MP) interaction. High confidence MP interactions were filtered at a confidence threshold of 90%.|SH-SY5Y cell line (Antibody; IP/MS),-,BIOGRID
3020263,10212,201294,115507,128383,-,-,DDX39A,UNC13D,BAT1|BAT1L|DDX39|DDXL|URH49,FHL3|HLH3|HPLH3|Munc13-4,Affinity Capture-RNA,physical,Shi P (2020),32393512,9606,9606,High Throughput,3.991021744,-,-,Affinity capture-RNA was carried out to identify high-confidence protein-RNA interactions with a Fold Change over control immuniprecipitation > 2.0 (Fold change reported here),-,BIOGRID
3020594,10212,64859,115507,122332,-,-,DDX39A,NABP1,BAT1|BAT1L|DDX39|DDXL|URH49,OBFC2A|SOSS-B2|SSB2,Affinity Capture-RNA,physical,Shi P (2020),32393512,9606,9606,High Throughput,2.663533158,-,-,Affinity capture-RNA was carried out to identify high-confidence protein-RNA interactions with a Fold Change over control immuniprecipitation > 2.0 (Fold change reported here),-,BIOGRID
1186311,11118,10384,116293,115657,-,-,BTN3A2,BTN3A3,BT3.2|BTF4|BTN3.2|CD277,BTF3|BTN3.3,Affinity Capture-MS,physical,Huttlin EL (2015),26186194,9606,9606,High Throughput,1.0,-,-,"BioPlex 1.0 HEK 293T cells CompPASS score = 1.0, threshold = 0.75. Quantitative scores calculated by CompPASS-Plus (Huttlin et al. Cell, 2015, PMID: 26186194).|See BioPlex Interactome for details (https://bioplex.hms.harvard.edu/index.php).|This data has also been reanalyzed as part of BioPlex 2.0 (PMID: 28514442) and BioPlex 3.0 (PMID: 33961781). Only scores from within BioPlex 1.0 (PMID: 26186194) should be compared directly.",-,BIOGRID
